sale_id,sale_date,customer_id,product_id,quantity,amount
f7ab0bec-b327-4480-a4e0-9f3e7a5bf206,2024-11-06 07:31:50,CUST-8832,PROD-235,14,6192.96
376f6b3e-7026-4f1c-bd0e-e37670f2b2b5,2024-03-04 11:34:43,CUST-3074,PROD-704,7,311.25
c5d0e996-4583-45da-8957-500d6a7c1568,2024-03-28 05:29:06,CUST-1636,PROD-611,6,2625.0
2d16e125-02e2-4cc0-ad9e-70f4e2ab1d79,2024-03-10 20:47:38,CUST-9943,PROD-186,8,1309.74
a95dd816-d81b-43e9-839d-876d9920a439,2024-03-26 04:27:21,CUST-6039,PROD-380,14,961.17
0e42030f-a6dc-4857-9716-17a349bdb53b,2024-07-04 10:28:56,CUST-3030,PROD-382,7,1455.95
baae12e7-1ea5-4aca-b201-54a5dc26cb7c,2024-05-30 02:54:56,CUST-2378,PROD-612,1,192.47
cf9c1a0c-d34c-4a32-a40f-3dfe22427817,2024-08-14 02:51:18,CUST-8415,PROD-405,7,2890.15
fa2f1088-95d7-4aea-8c7f-325e4154a9ef,2024-07-14 11:25:17,CUST-8217,PROD-924,4,1222.5
64421994-5cd6-427e-8b6f-ed23585a2173,2024-03-19 03:45:36,CUST-7077,PROD-494,5,2136.29
80ec1880-8855-4204-aa96-c10c4f033869,2024-04-12 15:54:10,CUST-4571,PROD-745,15,2285.18
590de596-a3d9-4e8c-aee7-a19ef7eaf87b,2024-01-04 18:19:24,CUST-4263,PROD-128,5,1372.54
34fe1154-2857-4f7b-8ffa-35a475bd7e5b,2024-06-12 07:20:30,CUST-6359,PROD-862,4,280.55
0f8dab8b-efac-43fa-a2bf-c3da14ec0f51,2024-04-23 09:33:48,CUST-2556,PROD-389,3,944.5
ee0ec7b2-4769-45c4-bfdf-0c4f890553d9,2024-02-08 09:14:39,CUST-3611,PROD-455,5,758.97
9839c971-2520-4003-bd91-03b48184455c,2024-05-16 15:41:15,CUST-1542,PROD-995,2,237.41
24fdf38c-8384-41e2-8d92-b1d2db8e5ae0,2024-11-03 01:40:10,CUST-6729,PROD-200,2,621.02
932dcc34-0b4a-41fe-8847-9c4d1cf3bef1,2024-08-29 22:31:09,CUST-6810,PROD-747,16,4570.96
fc3d62d8-6dfa-4c94-83e8-93e622f43bde,2024-05-03 05:27:22,CUST-1690,PROD-661,4,1451.91
1380b5b5-fd6e-441a-97c7-927cd5d6df89,2024-10-17 22:04:42,CUST-7855,PROD-293,11,3588.22
07eaa276-f67f-4cf3-ac9b-3b3694cd083e,2024-05-02 05:11:17,CUST-8063,PROD-147,7,1640.25
dc1dfea5-5121-45b3-b42c-fe6c713205d4,2024-08-08 12:23:11,CUST-6115,PROD-417,17,1492.7
bc0b796a-2667-47d7-85ac-7947e03d7aef,2024-02-18 02:21:34,CUST-8387,PROD-334,16,4684.1
0be79baf-a844-404f-b204-dac4736dda75,2024-05-02 23:10:18,CUST-5110,PROD-781,10,4833.79
